Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),Sector
1,701600,"354 Uncovered Villages Scheme","(Department of Telecommunications [DoT])","Multi-States (Bihar, Gujarat, Himachal Pradesh, Jammu and Kashmir, Ladakh, Rajasthan, Uttar Pradesh)",12/2019,04/2020,NA,10/2021,08/2025,336.89,301.13,246.04,Telecommunication
2,702631,"Ahmedabad Metro Rail Project, Phase-II","(Gujarat Metro Rail Corporation Limited [GMRCL])",Gujarat,03/2019,03/2019,NA,03/2024,12/2025,5384.17,-,5358.41,Urban Public Transport
3,702633,"Delhi-Ghaziabad-Meerut Regional Rapid Transit System [RRTS] corridor","(National Capital Region Transport Corporation [NCRTC])","Multi-States (Delhi, Uttar Pradesh)",03/2019,03/2019,02/2026,06/2025,02/2026,30274,30274,27950.13,Urban Public Transport
4,612185,"C/o Construction of 200 bedded [Up-gradable to 300 bedded] ESI Hospital at Surat Gujarat.","(Employee's State Insurance Company [ESIC])",Gujarat,06/2019,03/2021,NA,06/2025,01/2026,209.36,-,202.62,Healthcare
5,616235,"Construction of Aviation Fuel farm Facilities at Bhogapuram Airport","(Ministry of Petroleum & Natural Gas)",Andhra Pradesh,08/2024,08/2024,03/2026,03/2026,03/2026,240,240,152.91,Energy Storage
6,400077,"Grass root POL Terminal at Vallur, Chennai","(Indian Oil Corporation Limited [IOCL])",Tamil Nadu,01/2022,01/2022,03/2026,12/2024,03/2026,827,887.71,661.1,Energy Storage
7,709766,"City Gas Distribution Project at Kurnool, Guntur & Prakasam Districts","(MinistryofPetroleumNaturalGas)",Andhra Pradesh,03/2022,03/2022,03/2026,03/2030,03/2026,1420,1420,171.55,Oil & Gas
8,709846,"Part Replacement Pipeline Project [PRPP]","(Oil and Natural Gas Corporation Limited [ONGC])",Maharashtra,11/2022,11/2022,03/2026,05/2024,03/2026,1219.48,1145.1,833.21,Oil & Gas
9,701350,"Upgradation of Facilities of Numaligarh-Siliguri Product Pipeline [NSPL] for transportation of additional products from existing 1.72 MMTPA to 5.5 MMTPA","(Ministry of Petroleum & Natural Gas)","Multi-States (Assam, West Bengal)",06/2021,06/2021,03/2026,12/2024,03/2026,860,750,639.43,Oil & Gas
10,701568,"Construction of oil jetty No.8 at old kandla through internal resources","(Deendayal Port Trust [DPT])",Gujarat,02/2018,02/2021,03/2024,02/2023,07/2024,100,225.85,186.47,Shipping
11,701576,"Berth No. 2 [previously Berth 3] of HDC Mechanization Project","(Haldia Dock Complex, Syama Prasad Mookerjee Port Authority)",West Bengal,11/2022,03/2023,01/2026,09/2025,01/2026,298.26,298.26,480,Shipping
12,602193,"Tehri Pumped Storage Plant Project [4x250 MW]","(THDC India Limited)",Uttarakhand,07/2006,06/2011,04/2026,06/2022,04/2026,4825.6,8339,8267.03,Electricity Generation
13,612856,"Augmentation of 1x1500 MVA 3rd 765/400 kV transformation capacity at Kurnool New Substation","(Power Grid Corporation of India Limited [POWERGRID])",Andhra Pradesh,05/2023,12/2023,03/2026,09/2025,03/2026,163.61,-,163.61,Transmission & Distribution
14,705651,"Katni - Bina Third Railway Line [279 km]","(West Central Railway WCR I)",Madhya Pradesh,06/2016,01/2017,03/2026,03/2022,02/2026,2478.23,4127.23,3368.11,Railways
15,705662,"Hotgi-Kudgi-Gadag Doubling Project","(South Western Railway [SWR] - II)","Multi-States (Karnataka, Maharashtra)",04/2014,01/2016,03/2026,12/2024,03/2026,1878,2459,2771.29,Railways
16,618575,"6L Standalone Flyovers at Bongaigaon, Chapaguri, Pathsala, Simlaguri chowk and Baihata Bypass Junctions on stretches of NH-31 and NH-27","(National Highways Authority of India [NHAI])",Assam,03/2022,01/2023,NA,07/2024,02/2026,457.72,412.15,371.63,Roads & Highways
17,618461,"Delhi-Vadodara Greenfield Alignment NH-148N Pkg-30 Ch 803420 to Ch.824920 [Baletiya Village - Junction near Pratap Nagar Village]","(National Highways Authority of India [NHAI])",Gujarat,11/2019,09/2021,NA,09/2023,01/2026,1800.73,1800.73,1090.06,Roads & Highways
18,618546,"Construction of Tunnels/Viaducts at identified sliding/slip zones at Km 130.550 to Km.130.750 Km. 131.170 to Km. 131.763 Km. 132.560 to Km. 133.168 Km. 133.590 to Km. 133.743 and Km. 147.877 to Km. 148.715 of Udhampur-Ramban section of NH-44","(National Highways Authority of India [NHAI])",Jammu and Kashmir,09/2021,04/2022,NA,10/2023,12/2025,442.14,533.11,458.86,Roads & Highways
19,618548,"Stand-alone Ring road/bypass around Jammu City from Raya Morh km. -0.687 to Jagti km. 57.568","(National Highways Authority of India [NHAI])",Jammu and Kashmir,12/2017,01/2018,NA,01/2021,01/2026,2023.88,2117.63,996.53,Roads & Highways
20,619115,"4L of Byrapura to Challakere Section from km 308.550 to km 358.500 of NH-150 A","(National Highways Authority of India [NHAI])",Karnataka,03/2018,12/2018,NA,12/2020,03/2026,796.77,1195.54,430.26,Roads & Highways
21,618696,"Bellary to Byrapura Section km 253.600 to km 308.550 of NH-150A","(National Highways Authority of India [NHAI])","Multi-States (Andhra Pradesh, Karnataka)",03/2018,10/2019,NA,10/2021,03/2026,1281.47,1689.6,553.21,Roads & Highways
22,618876,"4L of Nagina-Kashipur section from km. 73.00 to km. 175.00 of NH-74","(National Highways Authority of India [NHAI])","Multi-States (Uttar Pradesh, Uttarakhand)",01/2015,10/2017,NA,04/2020,02/2026,2125.03,2531.19,496.78,Roads & Highways
